Unnamed: 29,Unnamed: 30,Unnamed: 31,cat.thisIndex,cat.thisN,cat.thisRepN,cat.thisTrialN,correct,date,expName,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.corr,key_resp_9.keys,key_resp_9.rt,participant,practice.thisIndex,practice.thisN,practice.thisRepN,practice.thisTrialN,session,stim1,stim2,ws.thisIndex,ws.thisN,ws.thisRepN,ws.thisTrialN
,,,,,,,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,None,,,,,,,,1.0,2,0.301516056061,101,,,,,1,ws/30.wav,ws/2.wav,12.0,10.0,0.0,10.0
,,,,,,,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,None,,,,,,,,1.0,1,0.20150399208099998,101,,,,,1,ws/2.wav,ws/20.wav,1.0,11.0,0.0,11.0
,,,,,,,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,None,,,,,,,,0.0,1,0.585056066513,101,,,,,1,ws/17.wav,ws/8.wav,9.0,12.0,0.0,12.0
,,,,,,,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,None,,,,,,,,1.0,1,0.218065023422,101,,,,,1,ws/6.wav,ws/24.wav,5.0,13.0,0.0,13.0
,,,,,,,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,None,,,,,,,,1.0,1,0.134740114212,101,,,,,1,ws/6.wav,ws/32.wav,4.0,14.0,0.0,14.0
,,,,,,,,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,space,6.54162192345,,,,,,101,,,,,1,,,,,,
,,,14.0,0.0,0.0,0.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,1,3.25483083725,101,,,,,1,cat/2-13-8.wav,cat/2-8-13.wav,,,,
,,,6.0,1.0,0.0,1.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,0.0,1,2.23693394661,101,,,,,1,cat/627.wav,cat/672.wav,,,,
,,,17.0,2.0,0.0,2.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,1,2.7876119613599997,101,,,,,1,cat/2-5-18.wav,cat/2-5-12.wav,,,,
,,,0.0,3.0,0.0,3.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,1,0.251714944839,101,,,,,1,cat/257.wav,cat/275.wav,,,,
,,,29.0,4.0,0.0,4.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,0.0,1,1.20264601707,101,,,,,1,cat/2-6-20.wav,cat/2-6-18.wav,,,,
,,,8.0,5.0,0.0,5.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,1,0.468455076218,101,,,,,1,cat/725.wav,cat/752.wav,,,,
,,,26.0,6.0,0.0,6.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,0.0,1,0.451701879501,101,,,,,1,cat/2-17-7.wav,cat/2-15-7.wav,,,,
,,,11.0,7.0,0.0,7.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,1,0.5685689449310001,101,,,,,1,cat/826.wav,cat/862.wav,,,,
,,,22.0,8.0,0.0,8.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,2,1.10234999657,101,,,,,1,cat/7-5-10.wav,cat/7-10-5.wav,,,,
,,,24.0,9.0,0.0,9.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,1,0.485131978989,101,,,,,1,cat/8-12-5.wav,cat/8-5-12.wav,,,,
,,,2.0,10.0,0.0,10.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,0.0,1,0.43488287925700003,101,,,,,1,cat/276.wav,cat/267.wav,,,,
,,,13.0,11.0,0.0,11.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,0.0,2,0.017915010452299998,101,,,,,1,cat/11-5-7.wav,cat/21-5-7.wav,,,,
,,,15.0,12.0,0.0,12.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,1,0.351505994797,101,,,,,1,cat/2-14-8.wav,cat/2-10-8.wav,,,,
,,,32.0,13.0,0.0,13.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,0.0,1,0.05136990547180001,101,,,,,1,cat/25-5-8.wav,cat/12-5-8.wav,,,,
,,,7.0,14.0,0.0,14.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,0.0,None,,101,,,,,1,cat/682.wav,cat/628.wav,,,,
,,,5.0,15.0,0.0,15.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,2,0.301549911499,101,,,,,1,cat/528.wav,cat/582.wav,,,,
,,,30.0,16.0,0.0,16.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,2,0.38497185707099996,101,,,,,1,cat/2-7-14.wav,cat/2-14-7.wav,,,,
,,,1.0,17.0,0.0,17.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,2,0.151489973068,101,,,,,1,cat/285.wav,cat/258.wav,,,,
,,,3.0,18.0,0.0,18.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,1,0.10135912895199999,101,,,,,1,cat/268.wav,cat/286.wav,,,,
,,,31.0,19.0,0.0,19.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,0.0,1,0.184713125229,101,,,,,1,cat/2-8-15.wav,cat/2-15-8.wav,,,,
,,,21.0,20.0,0.0,20.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,1,0.0845699310303,101,,,,,1,cat/6-18-2.wav,cat/6-2-18.wav,,,,
,,,28.0,21.0,0.0,21.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,2,0.38509106636,101,,,,,1,cat/2-5-13.wav,cat/2-5-16.wav,,,,
,,,4.0,22.0,0.0,22.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,1,1.3692941665600002,101,,,,,1,cat/572.wav,cat/527.wav,,,,
,,,20.0,23.0,0.0,23.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,0.0,2,0.350498914719,101,,,,,1,cat/6-17-2.wav,cat/6-2-17.wav,,,,
,,,23.0,24.0,0.0,24.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,2,1.08569502831,101,,,,,1,cat/8-6-11.wav,cat/8-11-6.wav,,,,
,,,16.0,25.0,0.0,25.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,0.0,2,0.118016004562,101,,,,,1,cat/2-15-7.wav,cat/2-22-7.wav,,,,
,,,10.0,26.0,0.0,26.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,2,0.41831111908,101,,,,,1,cat/852.wav,cat/825.wav,,,,
,,,27.0,27.0,0.0,27.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,2,0.333842039108,101,,,,,1,cat/2-23-8.wav,cat/2-14-8.wav,,,,
,,,12.0,28.0,0.0,28.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,0.0,2,0.301589012146,101,,,,,1,cat/10-6-7.wav,cat/13-6-7.wav,,,,
